nid,,,,title,,,created,changed,start,end,field_event_start_date_rrule,,,body
40010,21815,event,,River City Mall Pre-Holiday Special Event,19,1,1447364811,1447364811,2015-11-15T02:00:00,2015-11-15T05:00:00,,,,"<p>Over 100 Vendor Displays 8200 sq. ft vendor mall! 10% off entire store. Treasure hunt, raffle prizes, refreshments and so much more.<br />3990 Rickey St. SE<br />Salem. OR 97317<br />503-967-6760<br /><a href=""http://www.rivercitymallsalem.com"" target=""_blank"">www.rivercitymallsalem.com</a></p>"
40011,21816,event,,Salem Collectors & Flea Market,19,1,1447365221,1447365221,2015-11-15T17:00:00,2015-11-15T22:00:00,,,,"<p>Salem's largest antique show and flea market with 150 tables full of antiques, collectibles and vintage.7-9 a.m. Early shoppers. 9 a.m.-2:30 p.m. Regular admission.Early shoppers/Vendor set-up 7-9 a.m. $6 admission. Regular admission 9 a.m.-2:30 p.m. $2.<br />Salem Armory - next to Oregon State Fairgrounds<br />2320 17th St. NE<br />Salem, OR 97301<br />541-619-5708<br /><a href=""http://www.salemcollectorsmarket.com"" target=""_blank"">www.salemcollectorsmarket.com</a></p>"
40012,21817,event,,Theatre 33 ~ Holiday Plays ,19,1,1447365599,1447365600,2015-11-27T22:00:00,2015-11-27T22:00:00,,,,"<p>Cherry Hill Winery is pleased to host the presentation of two plays from Salem's Theatre 33; A Christmas Memory by Truman Capote, and Stubby Pringle's Christmas by Jack Schaefer. Admission -wine tasting $10 toward purchase of wine. Performances at 2 and 3 p.m.<br />Cherry Hill Winery<br />7867 Crowley Rd.<br />Rickreall, OR 97371<br />503-623-7867<br /><a href=""http://www.cherryhillwinery.com"" target=""_blank"">www.cherryhillwinery.com</a></p>"
40013,21818,event,,Santa Arrives to Salem Aboard the Carousel Express Train,19,1,1447365893,1447365893,2015-11-27T18:00:00,2015-11-28T03:00:00,,,,"<p>Enjoy sipping complimentary hot cocoa while waiting in anticipation for Santa to arrive promptly at noon. He will greet the crowd, take a ride with the public and be available for photos &amp; visits. Free, plus cost for additional activities.<br />Salem's Riverfront Carousel<br />101 Front St. NE<br />Salem, OR 97301<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
40014,21820,event,,Pints & Purls,19,1,1447786090,1447786090,2015-11-20T02:00:00,2015-11-20T04:00:00,,,,"<p>Pints &amp; Purls with Tracy of Shine Essentials: a natural organic product line.Bring your knitting/crochet, have a bite to eat &amp; a hand-crafted beer and check out Shine Essentials. Free admission.<br />Seven Brides Brewing<br />990 N 1st St.<br />Silverton, OR 97381<br />503-874-4901<br /><a href=""http://www.applestooranges.net"" target=""_blank"">www.applestooranges.net</a></p>"
40015,21821,event,,"Thanksgiving Music, Wine & Dine at Coria Estates",19,1,1447786394,1447786394,2015-11-28T19:00:00,2015-11-30T01:00:00,,,,"<p>Barrel Tasting, food and music over the holiday weekend. After the turkey is gone and Black Friday shopping is done, come out and enjoy some great wine, food and music at Coria Estates. Salud!Varies by selection $20, $25 and $30.<br />Coria Estates<br />8252 Redstone Ave SE<br />Salem, OR 97306<br />503-363-0525<br /><a href=""http://www.coriaestates.com"" target=""_blank"">www.coriaestates.com</a></p>"
40016,21864,event,,Sibelius Festival ,19,1,1447786573,1447953119,2015-11-24T03:30:00,2015-11-24T03:30:00,,,,"<p>Willamette University Wind Ensemble, University Chamber Orchestra, and soloist Laura Aguero present Sibelius Festival. Program features pieces from sibelius like Karelia Overture, op.10, Andante Festivo (1938), and Khadra's Dance, Op. 51.<span style=""line-height: 20.4px;"">Admission is free.</span><br /><span style=""line-height: 20.4px;"">Willamette University Campus, Hudson Hall<br /></span><span style=""line-height: 20.4px;"">900 SE State St.<br /></span><span style=""line-height: 20.4px;"">Salem, OR 97301<br /></span><span style=""line-height: 20.4px;"">503-370-6255</span></p>"
40017,21823,event,,Thanksgiving at the Oregon Garden Resort,19,1,1447786871,1447786871,2015-11-26T19:00:00,2015-11-27T00:00:00,,,,"<p>Join us for a Thanksgiving Day Buffet.We will be serving up traditional Thanksgiving entrees, sides, and dessert; as well as new favorites the whole family can enjoy.For more information and to view the menu visit our website:http://www.oregongardenresort.com/resourcefiles/pdf/thanksgiving2015.pdf.<br />Adults: $28.95, Seniors: $24.95,Kids: $12.95.To make reservations please call 503-874-2500.<br />The Oregon Garden Resort<br />895 W Main St.<br />Silverton, OR 97381<br />503-874-2500<br /><a href=""http://www.oregongardenresort.com/dining.aspx"" target=""_blank"">www.oregongardenresort.com/dining.aspx</a></p>"
40018,21824,event,,Christmas in Hudson ,19,1,1447787096,1447787096,2015-12-04T03:30:00,2015-12-05T03:30:00,,,,"<p>A non-commercial presentation of the historical roots of the Christmas season. This long running tradition is seen by many as the official beginning to the holiday season in Salem, and we invite you to take part and be moved by the music of the season. $10 for adults and seniors, $8 for children and students.<br />Willamette University, Hudson Hall<br />900 SE State St.<br />Salem, OR 97301<br />503-370-6255</p>"
40019,21914,event,,Christmas Unplugged ~ John Doan,19,1,1447787558,1448907294,2015-12-07T03:00:00,2015-12-07T03:00:00,,,,"<p>Emmy nominated for ""Best Entertainment Special of the Year"" John's physical comedy interspersed with fine musicianship makes for a fun-filled evening for all ages.Enjoy group sing-alongs and whistle-alongs, archival photographs, and period instruments (harp guitar, classical banjo, various zithers). $15 adults, $10 seniors and students under 18, $18 tickets at the door.<br />Willamette University, Hudson Hall<br />900 SE State St.<br />Salem, OR 97301<br />503-370-6255</p>"
40020,21826,event,,Willamette Master Choir Holiday Concert ,19,1,1447787903,1447787903,2015-12-12T23:00:00,2015-12-13T23:00:00,,,,"<p>3 and 7:30 p.m. on Saturday; 3 p.m. on Sunday. The Willamette Master Choir and the Whiteaker Middle School Choir combine to present Antoni Vivaldi's ""Gloria"" with orchestra, chorus, and soloists. Both choirs will present individual sets of Christmas carol and Holiday music. Carols with the audience will round out the program. Admission: varies by seating.<br />Willamette, University, Hudson Hall<br />900 SE State St.<br />Salem, OR 97301<br />503-370-6255</p>"
40021,21830,event,,Salem Collectors & Flea Market,19,1,1447789952,1447790004,2015-12-13T17:00:00,2015-12-13T22:00:00,,,,"<p>Salem's largest antique show and flea market with 150 tables selling antiques, collectibles and vintage items.Early shoppers. 9 a.m.-2:30 p.m. Regular admission.Early shoppers/Vendor set-up 7-9 a.m. $6 admission. Regular admission 9 a.m.-2:30 p.m. $2.<br />Salem Armory - next to Oregon State Fairgrounds<br />2320 17th St. NE<br />Salem, OR 97301<br />541-619-5708<br /><a href=""http://www.salemcollectorsmarket.com"" target=""_blank"">www.salemcollectorsmarket.com</a></p>"
40022,21831,event,,Holiday Show 2015,19,1,1447790372,1447790372,2015-11-04T18:00:00,2015-11-05T02:00:00,"RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=TU,WE,TH,FR,SA;UNTIL=20151225T075959Z;WKST=SU",,,"<p>November 2-December 24.Annual Holiday Show with members and local artists displaying affordable handmade, original gifts.For a gift to treasure come to the Red Raven Gallery. <br />Red Raven Gallery<br />155 Liberty St. NE<br />Salem, OR 97301<br />503-798-9973<br /><a href=""http://www.redravengallery.com"" target=""_blank"">www.redravengallery.com</a></p>"
40023,21832,event,,SenateAires Christmas Program,19,1,1447790688,1447790688,2015-12-06T22:00:00,2015-12-06T22:00:00,NULL,,,"<p>Special guests, North Salem High School, Chemeketa Community College music programs, Tone Deaf Quartet, Nordic Choir, Jam'n Quartet, and Something in Common Quartet.General admission $15, VIP Seating $20, Family of five or more, $10 each.<br />Chemeketa Community College Auditorium, Building 6<br />4000 Lancaster Dr. NE<br />Salem, OR 97301<br />907-441-8064 or 855-725-3624<br /><a href=""http://www.senateaires.org"" target=""_blank"">www.senateaires.org</a></p>"
40024,21833,event,,Holiday Ugly Sweater Benefit Party for Salem's Riverfront Carousel,19,1,1447795678,1447795678,2015-12-07T01:00:00,2015-12-07T05:00:00,NULL,,,"<p>May your ugly sweaters be merry and bright. Visit us online for all event details. By reservation only - must book by Dec 1st.$50/person.<br />Event held at:<br />Chemeketa-Eola Northwest Wine Studies Center<br />215 Doaks Ferry Rd. NW<br />Salem, OR 97304<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
40025,21835,event,,Breakfast with Santa at the Carousel,19,1,1447795924,1447795984,2015-12-19T16:00:00,2015-12-19T16:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151220T075959Z;WKST=SU,,,"<p>Create fond memories with your little ones this holiday season. Enjoy a ride on the Carousel with Santa, a delicious breakfast buffet, small gift and a special visit and photo with Santa. Limited seats available.$20/person. By reservation only. Children under the age of 3yr are free (only if sitting on adult's lap).<br />Salem's Riverfront Carousel<br />101 Front St. NE<br />Salem, OR 97301<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
40026,21836,event,,Tea with Mrs Claus at the Carousel,19,1,1447796296,1447796296,2015-12-20T19:00:00,2015-12-20T19:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151221T075959Z;WKST=SU,,,"<p>Come in your favorite Christmas pajamas and celebrate with Santa. Enjoy listening to stories, making a crafts, take a photo with Santa and enjoy delicious snacks. By reservation only. Limited seats available. $20/person. Children under the age of 3yr are free.<br />Salem's Riverfront Carousel<br />101 Front St. NE<br />Salem, OR 97301<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
40027,21837,event,,Pajama Party with Santa at the Carousel,19,1,1447796562,1447796562,2015-12-23T02:00:00,2015-12-24T02:00:00,NULL,,,"<p>Free rides to the public. Suggested canned-food donation to support Marion-Polk Food Share.<br />Salem's Riverfront Carousel<br />101 Front St NE<br />Salem, OR 97301<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
40028,21838,event,,Free Carousel Rides,19,1,1447797139,1447797139,2016-01-01T20:00:00,2016-01-02T00:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20160102T075959Z;WKST=SU,,,"<p>Homes will be open in the Court/Chemeketa Historic District December 13 from 1-4 p.m. The tour begins at St John Lutheran Church and is free but donations to the food bank are requested.<br /><span style=""line-height: 20.4px;"">Court/Chemeketa NE<br /></span><span style=""line-height: 20.4px;"">1363 Court St. NE<br /></span><span style=""line-height: 20.4px;"">Salem, OR 97301<br /></span><span style=""line-height: 20.4px;"">503-581-4939</span></p>"
40029,21839,event,,Court/Chemeketa Historic District Holiday Open House,19,1,1447797398,1447797398,2015-12-13T21:00:00,2015-12-14T00:00:00,NULL,,,"<p>November 7, 2015 - January 31, 2016.Take a new look at one of the world's best known historic monuments, the Parthenon (447 BCE), through the drawings of Katherine A. Schwab, archaeologist and professor of art history at Fairfield University in Connecticut.<br />Hallie Ford Museum of Art, Study Gallery and Print Study Center<br />700 State St.<br />Salem, OR 97301<br />503-370-6855<br /><a href=""http://willamette.edu/arts/hfma/exhibitions/library/2015-16/archaeologists_eye.html"" target=""_blank"">www.willamette.edu/arts/hfma/exhibitions/library/2015-16/archaeologists_eye.html</a></p>"
40030,21840,event,,An Archaeologist's Eye: The Parthenon Drawings of Katherine A. Schwab,19,1,1447797626,1447797626,2016-01-30T18:00:00,2016-01-30T18:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20160201T075959Z;WKST=SU,,,"<p>Homes will be open in the Court/Chemeketa Historic District December 13 from 1-4 p.m. The tour begins at St John Lutheran Church and is free but donations to the food bank are requested.<br /><span style=""line-height: 20.4px;"">Court/Chemeketa NE<br /></span><span style=""line-height: 20.4px;"">1363 Court St. NE<br /></span><span style=""line-height: 20.4px;"">Salem, OR 97301<br /></span><span style=""line-height: 20.4px;"">503-581-4939</span></p>/>Hallie Ford Museum of Art, Study Gallery and Print Study Center<br> />700 State St.<br />Salem, OR 97301<br />503-370-6855<br /><a href=""http://willamette.edu/arts/hfma/exhibitions/library/2015-16/archaeologists_eye.html"" target=""_blank"">www.willamette.edu/arts/hfma/exhibitions/library/2015-16/archaeologists_eye.html</a></p>"
40031,21842,event,,Photos & Visits with Santa at the Carousel,19,1,1447798434,1447798513,2015-12-20T20:00:00,2015-12-20T20:00:00,"RRULE:FREQ=WEEKLY;INTERVAL=1;BYDAY=SU,FR,SA;UNTIL=20151221T075959Z;WKST=SU
EXDATE:20151204T080000Z,20151211T080000Z,20151218T080000Z",,,"<p>Take your own photo (up to 2 shots)-$3 per visit. Carousel Keepsake Photo-$7 per visit. Visits with Santa are free (no photos). Visit us online for all dates and times.<br />Salem's Riverfront Carousel<br />101 Front St. NE<br />Salem, OR 97301<br />503-540-0374<br /><a href=""http://www.salemcarousel.org"" target=""_blank"">www.salemcarousel.org</a></p>"
40032,21843,event,,The Freeze,19,1,1447799992,1447799992,2016-03-05T16:00:00,2016-03-05T16:00:00,NULL,,,"<p>5 mile obstacle course race featuring 25+ obstacles. Registration fee varies based on registration date.<br />Zena Springs Farm<br />5560 Zena Rd. NW<br />Salem, OR 97304<br />541-680-3493<br /><a href=""http://www.racethefreeze.com"" target=""_blank"">www.racethefreeze.com</a></p>"
40033,21844,event,,The Inferno,19,1,1447800885,1447800885,2016-09-10T19:00:00,2016-09-10T19:00:00,NULL,,,"<p>Obstacle Course Race featuring 4 separate distances of 3+, 6+, 13.1 and 26.2 miles. Fee varies based on registration date.<br />Zena Springs Farm<br />5560 Zena Rd. NW<br />Salem, OR 97304<br />541-680-3493<br /><a href=""http://www.racetheinferno.com/"" target=""_blank"">www.racetheinferno.com</a></p>"
40034,21846,event,,Polk County Flea Market,19,1,1447801187,1447801327,2016-12-04T17:00:00,2016-12-04T23:00:00,"RRULE:FREQ=MONTHLY;INTERVAL=1;BYDAY=+1SU;UNTIL=20161205T075959Z;WKST=SU
EXDATE:20160807T070000Z",,,"<p>Polk Flea Market is a typical eclectic flea market with all the tradition and warmth of a friendly country swap meet. Treasures for everyone. Admission: $1 or $5 for Early Birds.<br />Polk County Fairgrounds and Event Center<br />520 S. Pacific Hwy. W<br />Rickreall, OR 97371<br />503-428-8224<br /><a href=""http://www.polkfleamarket.com"" target=""_blank"">www.polkfleamarket.com</a></p>"
40035,21848,event,,Total Solar Eclipse,19,1,1447801897,1447801946,2017-08-21T17:17:00,2017-08-21T17:17:00,NULL,,,"<p>A total solar eclipse will occur in Salem.The shadow first touches land near Newport, Oregon at 17:15:50.6UT (at about 10:15 in the morning) on August 21, 2017 and lasts a full minute and fifty seconds of totality.Within two minutes the shadow extends eastward toward Dallas, Albany, Corvallis, Lebanon, Philomath, McMinnville, Woodburn, and Salem. The length of totality will vary based on distances from the centerline. On the steps of the State Capitol in Salem (the first of five state capitals the shadow will visit), lucky viewers will be treated to 1m54.5s of shadow at just after 10:17am.<br /><span style=""line-height: 20.4px;""><a href=""http://www.eclipse2017.org/2017/communities/states/OR/Salem_1357.htm"" target=""_blank"">www.eclipse2017.org/2017/communities/states/OR/Salem_1357.htm</a></span></p>"
40036,21849,event,,Family Play: A Christmas Carol,19,1,1447803359,1447803359,2015-12-05T22:00:00,2015-12-05T22:00:00,NULL,,,"<p>Families are invited to a presentation of the holiday classic. Free and open to the public. For more information, please call 503-588-6088.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40037,21850,event,,Uniquely Original: A Celebration of Regional Singer/Songwriters,19,1,1447803572,1447803572,2015-12-05T03:00:00,2015-12-05T03:00:00,NULL,,,"<p>Tickets available starting Wednesday, November 25. For more information, please call 503-588-6052.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6052<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40038,21851,event,,Paul Gerald: Writing and Publishing Your Book,19,1,1447803709,1447803709,2015-11-20T03:00:00,2015-11-20T03:00:00,NULL,,,"<p>Join local author Paul Gerald for a lecture on self-publishing. For more information, please call 503-588-6052.<br />Anderson Rooms A&amp;B, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6052<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40039,21853,event,,Holiday Papercrafts,19,1,1447803830,1447803871,2015-12-05T22:30:00,2015-12-05T22:30:00,NULL,,,"<p>Join us for crafting fun! For more information, please call 503-588-6052.<br /><span style=""line-height: 20.4px;"">Anderson Rooms A&amp;B, Salem Public Library<br /></span><span style=""line-height: 20.4px;"">585 Liberty St. SE<br /></span><span style=""line-height: 20.4px;"">Salem, OR 97301<br /></span><span style=""line-height: 20.4px;"">503-588-6052<br /></span><span style=""line-height: 20.4px;""><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></span></p>"
40040,21854,event,,Rediscovering Coloring,19,1,1447804446,1447804446,2015-11-21T18:30:00,2015-11-21T18:30:00,NULL,,,"<p>Coloring isn't just for kids anymore. Grown ups are invited to rediscover the joys of coloring. For more information, please call 503-588-6052. Free admission.<br />Anderson Rooms A&amp;B, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40041,21855,event,,Concert: Salem Community Chorus,19,1,1447804609,1447804609,2015-12-20T22:30:00,2015-12-20T22:30:00,NULL,,,"<p>For more information, please call 503-588-6052.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6052<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40042,21856,event,,Family Concert: Red Yarn Puppets,19,1,1447804910,1447804910,2015-12-01T18:30:00,2015-12-01T18:30:00,NULL,,,"<p>Families are invited for a puppet show. For more information, please call 503-588-6088.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40043,21857,event,,Family Film: Minions,19,1,1447805345,1447805345,2015-12-19T00:00:00,2015-12-19T00:00:00,NULL,,,"<p>Family Film: Minions(PG; 91 minutes; 2015). For more information, please call 503-588-6088.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40044,21858,event,,Kacey McCallister presents Funspirational,19,1,1447805626,1447805626,2015-11-28T22:00:00,2015-11-28T22:00:00,NULL,,,"<p>Families are invited to this special afternoon with local motivational speaker Kacey McCallister. For more information, please call 503-588-6088.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40045,21859,event,,Family Party: Deck the Halls Holiday ,19,1,1447805778,1447805778,2015-12-22T22:00:00,2015-12-22T22:00:00,NULL,,,"<p>Families are invited to join us for games, crafts and more fun. For more information, please call 503-588-6088.<br />Anderson Rooms A&amp;B, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40046,21860,event,,Family Event: Holiday Book Bingo,19,1,1447806004,1447806004,2015-12-23T22:00:00,2015-12-23T22:00:00,NULL,,,"<p>Families are invited to join us for a fun game of bingo. For more information, please call 503-588-6088. Free admission.<br />Anderson Rooms A&amp;B, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40047,21861,event,,Drop-In Crafts and Games,19,1,1447806159,1447806159,2015-12-24T18:00:00,2015-12-25T01:00:00,NULL,,,"<p>We're playing and crafting all day in the Children's Area. For more information, please call 503-588-6088.<br />Children's Room, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
40048,21862,event,,Holiday Open Museums,19,1,1447806400,1447806400,2015-12-13T21:00:00,2015-12-14T00:00:00,RRULE:FREQ=WEEKLY;INTERVAL=1;UNTIL=20151214T075959Z;WKST=SU,,,"<p>The Bush House Museum and nearby Deepwood Museum &amp; Gardens will team up for two Sunday afternoons of free admission, holiday decorations, live music and light refreshments; featuring ribbon garland making, vintage games and exhibits.<br />Bush House Museum<br />600 Mission St. SE<br />Salem, OR 97302<br />503-581-2228<br /><a href=""http://www.SalemArt.org"" target=""_blank"">www.SalemArt.org</a></p>"
40049,21863,event,,"Arcane Cellars Annual Holiday Party, Chocolate Tasting & Christmas Plays",19,1,1447806749,1447806749,2015-12-06T20:00:00,2015-12-07T01:00:00,NULL,,,"<p>Wine and artisan chocolate pairing with Missionary Chocolates, two Christmas plays, <em>A Christmas Memory</em> &amp; <em>Stubby Pringle's Christmas</em> by Theatre 33 at 3 p.m. in barrel room. Panino Food Truck service. More info www.arcanecellars.com.<br />Arcane Cellars<br />22350 Magness Rd.<br />Salem, OR 97304<br />503-868-7076<br /><a href=""http://www.arcanecellars.com"" target=""_blank"">www.arcanecellars.com</a></p>"
40050,21866,event,,Family Event: Drop-In Crafts and Games,19,1,1447956947,1447957042,2015-12-31T18:00:00,2016-01-01T01:00:00,RRULE:FREQ=DAILY;INTERVAL=1;BYDAY=TH;UNTIL=20160101T075959Z;WKST=SU,,,"<p>We're playing and crafting all day in the Children's Area. For more information, please call 503-588-6088.<br />Children's Room, Salem Public Library<br />Salem, OR 97301<br />503-588-6088<br /><span style=""line-height: 20.4px;""><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></span></p>"
40051,21867,event,,Family Event: Reptile Man,19,1,1447957231,1447957231,2015-12-29T23:00:00,2015-12-29T23:00:00,NULL,,,"<p>Families are invited to this special afternoon with the Reptile Man. For more information, please call 503-588-6088.<br />Loucks Auditorium, Salem Public Library<br />585 Liberty St. SE<br />Salem, OR 97301<br />503-588-6088<br /><a href=""http://www.salemlibrary.org"" target=""_blank"">www.salemlibrary.org</a></p>"
