nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,body
9370,21192,event,,Polk County Fair,19,1,1395786478,1437408169,0,1,0,0,0,0,"<p>Good old-fashioned county fair. Fun for the whole family. Beer and wine garden, BMX freestyle team, food, 4-H/FFA exhibits. A Rough Stock Rodeo-7 p.m.  Thursday; an ATV Rodeo-1 p.m. Saturday. Free kids area. Adults $8,  Jr/Sr 11-15 or over 62 $5,  Kids 10 and under free. Thurs.-Fri. 10 a.m.-10 p.m., Sat. 10 a.m.-11 p.m.<br />Polk County Fairgrounds<br />P.O. Box 29<br />Rickreall, OR 97371<br />503-623-304 or 1-888-229-6818<br /><a href=""http://www.co.polk.or.us/fair"" target=""_blank"">www.co.polk.or.us/fair</a></p>"
9678,21000,event,,Bite and Brew of Salem,19,0,1398448385,1435096642,0,0,0,0,0,0,"<p>A 3-day festival featuring over 15 bands on two outdoor stages and brings you several local eateries, 60+ beers on tap, Willamette Valley wines and endless entertainment for kids of all ages. Fri. July 25: 4-11 p.m., Sat. July 26: 11 a.m.-11 p.m., Sun. July 27: 11 a.m.-6 p.m. Admission: $5.<br />Salem's Riverfront Park<br />200 Water St. NE<br />Salem, OR 97301<br />503-881-6066<br /><a href=""http://thebiteandbrew.com"" target=""_blank"" style=""font-size: 12px;"">www.thebiteandbrew.com</a></p>"
9721,19014,event,,Quiltopia,19,1,1399409938,1412183989,0,1,0,0,0,0,"<p>An annual quilt festival that inspires one to learn the joys of using textiles in a traditional and/or contemporary art form. Hand Weavers sale is in the Dye House Friday and Saturday; it is free and organized by The Salem Fiber Arts Guild. Proceeds benefit Helping Hands charity. Fri.-Sat. 10 a.m.-5 p.m.; Sun. 12-5 p.m. Admission: $5.<br />Willamette Heritage Center<br />1313 Mill St. SE<br />Salem, OR 97301<br />503-585-7012<br /><a href=""http://www.quiltedforest.com/"" target=""_blank"">www.quiltedforest.com</a> or <a href=""http://www.willametteheritage.org"" target=""_blank"">www.willametteheritage.org</a></p>"
9951,18208,event,,Civil War Reenactment,19,1,1402011647,1403048657,0,1,0,0,0,0,"<p>Watch two battles per day; visit camps and living history displays. This year marks the 24th annual event at Willamette Mission State Park. Approximately 1,000 reenactors are expected, who will demonstrate the living and fighting conditions of the early 1860's. Admission: Adults-$8; Seniors 55+ and Students*-$5  (*through High School with Student ID).<br />Willamette Mission State Park<br />1840 Wheatland Rd. SE <br />Salem, OR 97303<br />541-497-7481<br /><a href=""http://www.nwcwc.org"" target=""_blank"">www.nwcwc.org</a></p>"
9958,18069,event,,Hubbard Hop Festival,19,1,1402072751,1402072751,0,1,0,0,0,0,"<p>Hubbard Hop Festival<br />Super Hero Parade at 10 a.m.<br />Rivenes Park<br /><span style=""font-size: 12px;"">City of Hubbard<br /></span><span style=""font-size: 12px;"">503-981-9454<br /></span><span style=""font-size: 12px;""><a href=""http://www.hubbardfire.com"" target=""_blank"">www.hubbardfire.com</a></span></p>"
9961,18074,event,,Santiam Canyon Stampede,19,1,1402073892,1402073892,0,1,0,0,0,0,"<p><span style=""font-size: 12px;"">Sublimity Harvest Fest Grounds</span><br />11880 Sublimity Rd.<br /><span style=""font-size: 12px;"">Sublimity, OR 97383<br /></span><span style=""font-size: 12px;"">503-769-2799<br /></span><span style=""font-size: 12px;""><a href=""http://www.scsrodeo.org"" target=""_blank"">www.scsrodeo.org</a></span></p>"
9965,18078,event,,14th Annual Silverton Fine Arts Festival,19,1,1402077671,1402077671,0,1,0,0,0,0,"<p><span style=""font-size: 12px;"">Free admission.<br />Coolidge McClaine Park<br />Silverton, OR 97381<br /></span><span style=""font-size: 12px;"">503-508-9591<br /></span><span style=""font-size: 12px;""><a href=""http://www.silvertonarts.org"" target=""_blank"">www.silvertonarts.org</a></span></p>"
10046,21001,event,,Oregon Lavender Festival,19,0,1402694132,1435096658,0,0,0,0,0,0,"<p><span style=""font-size: 12px;"">Lavender Lake Farms<br /></span><span style=""font-size: 12px;"">3395 S Pacific Hwy.<br />Independence, OR 97351</span><br />503-804-3574 <br /><a href=""http://www.oregonlavenderdestinations.com"" target=""_blank"">www.oregonlavenderdestinations.com</a></p>"
10047,18186,event,,Fiesta Mexicana ~ Woodburn,19,1,1402694797,1402694797,0,1,0,0,0,0,"<p>Legion Park<br /><span style=""font-size: 12px;"">1385 Park Ave<br /></span><span style=""font-size: 12px;"">Woodburn, OR 9707<br />503-982-52221<br /></span><span style=""font-size: 12px;""><a href=""http://woodburnfiestamexicana.com/"" target=""_blank"">www.woodburnfiestamexicana.com</a></span></p>"
10048,18188,event,,Sublimity Harvest festival,19,1,1402695218,1402695218,0,1,0,0,0,0,"<p>off Hwy 22<br />11880 Sublimity Rd. SE <br />Sublimity, OR <br /><a href=""http://www.sublimityharvestfest.com/home.php "" target=""_blank"">www.sublimityharvestfest.com</a></p>"
10190,18601,event,,Oregon State Fair,19,1,1405107306,1407366245,0,1,0,0,0,0,"<p>Fun loves company at the 2014 Oregon State Fair. Come see the State's best in big name entertainment, animals, arts and exhibits -- all for a BIG value. Mon.- Thur., Aug. 22-Sept. 1, 10 a.m.-10 p.m.; Fri.-Sun., 10 a.m.-11 p.m. Tickets: Adults $8 (12 and up)... Presale $6; Kids $6 (6 to 11) ... Presale $5; Seniors $6 (62 and up)""_ Presale $5.<br />Oregon State Fairgrounds<br />2330 17th St. NE<br />Salem, OR 97301<br />503-947-3247 or 1-800-833-0011<br /><a href=""http://www.oregonstatefair.org"" target=""_blank"">www.oregonstatefair.org</a></p>"
10452,20823,event,,Mud Madness/Obstacle Course,19,1,1410460630,1433371936,0,1,0,0,0,0,"<p>Obstacle course fun for the whole family. Challenging for all ages. Includes 120ft water slide, tire climb, maze, balance beam, electrical obstacle and more. Includes  beverage (beer, wine, water), hay ride to the farms garden. Early registration prior to Jan 1st: Adults $20, Kids 12 & under $5.<br />Fordyce Farm<br />7023 Sunnyview Rd.<br />Salem, OR 97305<br />971-218-2646<br /><a href=""http://www.exchangeclubsofsalemor.org/mud-madness"" target=""_blank"">www.exchangeclubsofsalemor.org/mud-madness</a></p>"
10456,21003,event,,Independence Hop & Heritage Festival,19,0,1410461391,1435096702,0,0,0,0,0,0,"<p>Join Rogue Ales at the 14th Annual Independence Hop & Heritage Festival.  Independence is the former Hop Capital of the World. Join our celebration of hops and community heritage. Friday, Sept 26: 5-10 p.m.; Sat. Sept. 27: 11 a.m.-11 p.m. Free admission.<br />Main Street<br />50 C St.<br />Independence, OR 97351<br />503-838-9813<br /><a href=""http://www.hopfestival.org"" target=""_blank"">www.hopfestival.org</a></p>"
10463,18843,event,,Mount Angel Oktoberfest,19,1,1410469944,1410535457,0,1,0,0,0,0,"<p>5N Garfield St.<br />Mount Angel, OR 97362<br />1-855-899-6338<br /><a href=""http://www.oktoberfest.org"" target=""_blank"">www.oktoberfest.org</a></p>"
10541,18954,event,,Thanksgiving Dinner on the River,19,1,1411597834,1411597834,0,1,0,0,0,0,"<p>Join us for Thanksgiving on the river. Relax and let us do the cooking. $25 per person. Reservations highly recommended. <br />Willamette Queen<br />200 S Water St. <br />Salem, OR 97301<br />503-371-1103<br /><a href=""http://www.WillametteQueen.com"" target=""_blank"">www.WillametteQueen.com</a></p>"
10547,21002,event,,Father's Day Brunch Cruise,19,0,1411600416,1435096682,0,0,0,0,0,0,"<p>Fathers deserve thanks for all they do and today is the day. We have a 2-hour brunch cruise just for Dad. Reserve early. $55 per person, includes gratuity. <br />Willamette Queen<br />200 S Water St. <br />Salem, OR 97301<br />503-371-1103<br /><a href=""http://www.WillametteQueen.com"" target=""_blank"">www.WillametteQueen.com</a></p>"
10548,18962,event,,4th of July ~ Aboard the Willamette Queen,19,1,1411600651,1411600739,0,1,0,0,0,0,"<p>Our favorite event of the year. Join us for a late dinner cruise, then stay on board for the best seat to watch the Salem fireworks show over the river at 10 p.m. $55 per person, includes gratuity. <br />Willamette Queen<br />200 S Water St. <br />Salem, OR 97301<br />503-371-1103<br /><a href=""http://www.WillametteQueen.com"" target=""_blank"">www.WillametteQueen.com</a></p>"
10549,18963,event,,Patriot Day Cruise,19,1,1411600907,1411600907,0,1,0,0,0,0,"<p>To thank Police, Fire, and Military personal, free cruise (with ID) today. Families are welcome also. Other passengers $12 per adult, $6 children, 3 and under free. <br />Willamette Queen<br />200 S Water St. <br />Salem, OR 97301<br />503-371-1103<br /><a href=""http://www.WillametteQueen.com"" target=""_blank"">www.WillametteQueen.com</a></p>"
10713,21578,event,,Wineries Thanksgiving Weekend Open Houses,19,1,1414779215,1444238422,0,1,0,0,0,0,"<p>Various wineries, Willamette Valley<br />503-581-4325<br />800-874-7012<br /><a href=""http://www.travelsalem.com/Events/major-annual-events#nov"" target=""_blank"">www.TravelSalem.com</a></p>"
10798,19410,event,,Bush House Holiday Open Museum,19,1,1416251760,1416588058,0,1,0,0,0,0,"<p>Bush House Museum celebrates the holidays with live music, children's activities, Victorian toys and traditionally inspired holiday decorations. 12/7 & 14 only. Enjoy complimentary refreshments at the Bush Barn Art Center galleries. Free admission.<br />Bush House Museum<br />600 Mission St. SE<br />503-581-2228<br /><a href=""http://www.SalemArt.org"" target=""_blank"">www.SalemArt.org</a></p>"
10799,19413,event,,Heart of Willamette Wineries ~ Pre & Post Thanksgiving Open Houses,19,1,1416857756,1416857756,0,1,0,0,0,0,"<p>Pick your weekend ~ November 22 & 23 and 28 _ 30. Visit www.heartofwillamette.com for details. Tasting fees vary.<br />Member wineries<br />Monmouth, OR 97361<br />541-424-2478<br /><a href=""http://www.heartofwillamette.com"" target=""_blank"">www.heartofwillamette.com</a></p>"
10825,19522,event,,Magic at the Mill,19,1,1417030946,1418327910,0,1,0,0,0,0,"<p>December 19-23. Come experience 'Magic at the Mill.' Thousands of twinkling lights, entertainment, shopping, food, music, kids' activities, make reindeer food, miniature train and Santa! Members free; Non-members: Adults $6; Children 4-12 $4; Ages 3 & under free.<br />Willamette Heritage Center<br />1313 Mill St. SE<br />Salem, OR 97301<br />503-585-7012<br /><a href=""http://www.willametteheritage.org"" target=""_blank"">www.willametteheritage.org</a></p>"
10828,19458,event,,2015 Oregon Winter Poultry Swap and Sale,19,1,1417037854,1417037854,0,1,0,0,0,0,"<p>Over 50 Vendors bringing many breeds/ages of chickens, ducks, turkeys, quail, hatching eggs, rabbits, guinea pigs. Poultry/animal supplies. Homemade jams, pickles, vanilla, honey, baked goods, jewelry, soaps, lotions, candles, wool/fiber products, arts and crafts, plants.<br />Polk County Fairgrounds<br />520 S. Pacific Hwy<br />Rickreall, OR 97371<br />541-990-7501<br /><a href=""http://www.oregonpoultryswap.com"" target=""_blank"">www.oregonpoultryswap.com</a></p>"
10842,20997,event,,Celebrating the Holidays,19,1,1417731038,1435095419,0,1,0,0,0,0,"<p> </p> <table style=""width: 100%;"" border=""0""><tbody><tr><td><p>Sat. Dec. 13, 3 and 7 p.m; Sun. Dec. 14, 7 p.m. Join the Willamette Master Chorus as we ""Celebrate the Holidays"" with contemporary and traditional Christmas Carols.<br />Hudson Hall, Willamette University<br />900 State St.<br />Salem, OR 97301<br />503-370-6929<br />willamettemasterchorus.org</p> <p> </p></td> <td><p style=""margin-top: 1em; margin-bottom: 1em; color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;""><strong><a href=""http://www.absolutelytix.com/"" target=""_blank"" style=""color: #6e7f4f; font-weight: normal;""><img src=""[site:url]sites/default[site:url]sites/default/files/images/AbsolutelyTix.jpg"" width=""191"" height=""38"" border=""0"" style=""border-width: 0px; display: block; margin-left: auto; margin-right: auto;"" class=""image image-preview "" /></a></strong></p> <p style=""margin-top: 1em; margin-bottom: 1em; color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px; text-align: center;""><strong>BUY TICKETS:</strong> Available at the downtown Salem Travel Cafe (181 High St. NE) or online at <a href=""http://www.absolutelytix.com/"" target=""_blank"" style=""color: #6e7f4f;"">AbsolutelyTix.com</a>.</p></td></tr></tbody></table>"
10906,19573,event,,Irish/Celtic Social Dance Lessons,19,1,1419291753,1419292460,0,1,0,0,0,0,"<p>Weekly Irish & Celtic dance class. Lively forms of social dance similar to contra and square dancing. Great fun; excellent exercise; no partner or experience is necessary. Bring comfortable shoes and water. $5 per class. Tuesdays, ongoing.<br />FW Hall<br />630 Hood St. NE<br />Salem, OR 97301<br />503-383-9297<br /><a href=""http://www.ceiliofthevalley.org"" target=""_blank"">www.ceiliofthevalley.org</a></p>"
10907,20277,event,,Ceili (Kay-lee) Mor/Irish Social Dancing,19,1,1419292286,1428011610,0,1,0,0,0,0,"<p>Monthly Irish social dance with live, traditional Irish music. All dances taught prior to dancing and called as you dance. Reels, jigs, polkas and waltzes taught and danced. Family-friendly, all ages accepted. Admission: $5-10.<br />VFW Hall<br />630 Hood St. NE<br />Salem, OR 97301<br />503-383-9297<br /><a href=""http://www.ceiliofthevalley.org"" target=""_blank"">www.ceiliofthevalley.org</a></p>"
10918,19618,event,,Monthly Salsa Lessons,19,1,1420737455,1420737455,0,1,0,0,0,0,"<p>Join us for our monthly beginners Salsa dance lessons, taught by Mz. Jitterbug. Admission cost includes dance lesson, light snacks and wine tasting or a glass of wine. RSVP's are required in advance. Please email vino@cubanisimovineyards.com. $15.<br />Cubanisimo Vineyards Wine Tasting Room<br />1754 Best Road NW<br />Salem, OR 97304<br />503-588-1763<br /><a href=""http://www.cubanisimovineyards.com/ "" target=""_blank"">www.cubanisimovineyards.com</a></p>"
10919,19705,event,,Mt. Angel Wurstfest ~ 7th Annual,19,1,1420737633,1421437016,0,1,0,0,0,0,"<p>Family friendly celebration of German sausage with non-stop music, German and local beers, wines, arts, crafts, specialty foods, fun children's activities, dancers and more. Come and enjoy the last blast of winter! <br />Mount Angel Festhalle<br />500 S. Wilco Hwy<br />Mt. Angel, OR 97362<br />503-845-9440 (message phone, someone will get back to you)<br /><a href=""http://www.mtangelwurstfest.com"" target=""_blank"">www.mtangelwurstfest.com</a></p>"
10920,19620,event,,Travel Through Time ~ Celebrating Oregon's 156th Birthday,19,1,1420737869,1420737869,0,1,0,0,0,0,"<p>Old-time fiddlers will accompany living history and pioneer displays during Oregon's 156th birthday festivities at the Capitol. Free admission. <br />State Capitol <br />900 Court St. NE, Salem<br />Salem, OR 97301<br /><span style=""font-size: 11.8181819915771px; line-height: 20.4000015258789px;"">503 986-1388</span><br /><a href=""http://www.oregonlegislature.gov"" target=""_blank"">www.oregonlegislature.gov</a></p>"
10958,19676,event,,Salem's Underground ~ History Presentation,19,1,1421340814,1421340847,0,1,0,0,0,0,"<p>Professor John Ritter presents a little-known side of Salem. Topics include: Ethnic cleansing and the Ku Klux Klan, Opium Dens, State Prison crime bosses, The Underground, and sorted history of former Governors. Free admission.<br />Loucks Auditorium, Salem Public Library <br />585 Liberty St. SE<br />Salem, OR 97302<br />503-779-5221</p>"
10963,19690,event,,Grilling in the Garden Dinner Series ,19,1,1421342629,1421346727,0,1,0,0,0,0,"<p>Join us every 3rd Thursday, May - Sept for farm fresh meats and produce served to you while sipping local wines and mingling in the garden. Be sure to place reservations. 21 and over only please.<br />French Prairie Gardens<br />17673 French Prairie Rd.<br />Saint Paul, OR 97137<br />503-633-8445<br /><a href=""http://www.FPGardens.com"" target=""_blank"">www.FPGardens.com</a></p>"
10965,20813,event,,"Berries, Brews & BBQ",19,1,1421346151,1433370498,0,1,0,0,0,0,"<p>Join us the weekend before Father's Day and Father's Day weekend in June for a festival featuring craft brews, BBQ and u-pick strawberries. 9 a.m.-6 p.m. Sat., 10 a.m.-5 p.m. Sun. Free admission.<br />French Prairie Gardens<br />17673 French Prairie Rd.<br />Saint Paul, OR 97137<br />503-633-8445<br /><a href=""FPGardens.com"" target=""_blank"">FPGardens.com</a></p>"
10966,19684,event,,"Berries, Brews & BBQ",19,1,1421346204,1421346204,0,1,0,0,0,0,"<p>Join us the weekend before Father's Day and Father's Day weekend in June for a festival featuring craft brews, BBQ and u-pick strawberries. 9 a.m.-6 p.m. Sat., 10 a.m.-5 p.m. Sun. Free admission.<br />French Prairie Gardens<br />17673 French Prairie Rd.<br />Saint Paul, OR 97137<br />503-633-8445<br /><a href=""FPGardens.com"" target=""_blank"">FPGardens.com</a></p>"
10967,19686,event,,Hoedown & Hog Roast ,19,1,1421346358,1421346401,0,1,0,0,0,0,"<p>Join us for live jug band music, Farm-fresh whole hog roast, served with farm fresh veggies, and lots of farm fun for all ages. $50 per person for dinner, all ages.<br />French Prairie Gardens<br />17673 French Prairie Rd.<br />Saint Paul, OR 97137<br />503-633-8445<br /><a href=""http://www.FPGardens.com"" target=""_blank"">www.FPGardens.com</a></p>"
10968,19691,event,,Grilling in the Garden Dinner Series ,19,1,1421346808,1421346808,0,1,0,0,0,0,"<p>Join us every 3rd Thursday, May - Sept for farm fresh meats and produce served to you while sipping local wines and mingling in the garden. Be sure to place reservations. 21 and over only please.<br />French Prairie Gardens<br />17673 French Prairie Rd.<br />Saint Paul, OR 97137<br />503-633-8445<br /><a href=""http://www.FPGardens.com"" target=""_blank"">www.FPGardens.com</a></p>"
10969,19692,event,,Grilling in the Garden Dinner Series ,19,1,1421346883,1421346883,0,1,0,0,0,0,"<p><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">Join us every 3rd Thursday, May - Sept for farm fresh meats and produce served to you while sipping local wines and mingling in the garden. Be sure to place reservations. 21 and over only please.</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">French Prairie Gardens</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">17673 French Prairie Rd.</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">Saint Paul, OR 97137</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">503-633-8445</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><a href=""http://www.fpgardens.com/"" target=""_blank"" style=""color: #6e7f4f; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">www.FPGardens.com</a></p>"
10970,19693,event,,Grilling in the Garden Dinner Series ,19,1,1421347025,1421347025,0,1,0,0,0,0,"<p><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">Join us every 3rd Thursday, May - Sept for farm fresh meats and produce served to you while sipping local wines and mingling in the garden. Be sure to place reservations. 21 and over only please.</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">French Prairie Gardens</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">17673 French Prairie Rd.</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">Saint Paul, OR 97137</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><span style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">503-633-8445</span><br style=""color: #666666; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"" /><a href=""http://www.fpgardens.com/"" target=""_blank"" style=""color: #6e7f4f; font-family: Georgia, 'Times New Roman', 'Bitstream Vera Serif', serif; font-size: 12.7272720336914px; line-height: 16.7180004119873px;"">www.FPGardens.com</a></p>"
