nid,vid,type,language,title,uid,status,created,changed,comment,promote,moderate,sticky,tnid,translate,body
143,9271,listing,,LaQuinta Inn & Suites,4,1,1234642637,1310059012,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Easy I-5 access, close to downtown. Free high-speed Internet access, free HOT Bright Side Breakfast䋢. Kids under 19 stay free! Discounts available.<br />890 Hawthorne Ave. SE<br />Salem, Oregon 97301<br />503-391-7000 or 800-SLEEPLQ<br /><a href=""http://6486.lq.com"" target=""_blank"">www.lq.com</a></td>
<td><span class=""inline inline-left""><span class=""inline inline-left""><a href=""http://6486.lq.com"" target=""_blank""><img src=""/files/images/LaQuinta_Inn_&amp;_Suites_Small.jpg"" width=""191"" height=""150"" border=""0"" class=""image image-preview "" /></a></span><a href=""http://www.6486.lq.com"" target=""_blank""></a></span></td>
</tr>
</tbody>
</table>"
145,17681,listing,,Howard Johnson Inn,4,0,1234643629,1398883305,0,0,0,0,0,0,"<p>2250 Mission St. SE<br />Salem, Oregon 97302<br />503-375-7710<br />877-375-7710<br /><a href=""http://www.hojo.com/"" target=""_blank"">www.hojo.com</a></p>"
146,21707,listing,,Keizer Quality Suites & Conference Center,4,1,1234643656,1445365365,0,0,0,0,0,0,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td><p>Pet friendly all suite hotel. Conference Center for events up to 350 with the option of on-site catering. Complimentary hot breakfast buffet, Wi-Fi and parking.<br />5188 Wittenberg Ln. N<br />Keizer, OR 97303 <br />503-390-4733 or&nbsp;800-299-7221<br /><a href=""http://www.keizerrenaissanceinn.com"" target=""_blank"">www.keizerrenaissanceinn.com</a></p></td> <td><a href=""http://www.keizerrenaissanceinn.com"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Keizer_Ren_Inn_2012_Small.jpg"" title=""Keizer Renaissance Inn &amp; Conference Center ~ Keizer, Oregon ~ www.keizerrenaissanceinn.com"" width=""190"" height=""95"" style=""float: right; margin: 5px;"" class=""image image-preview "" /></a></td></tr></tbody></table>"
147,10789,listing,,Motel 6,4,1,1234643679,1327986620,0,0,0,0,0,0,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Free coffee 7-10 a.m., newly remodeled, A/C, 12/noon check-out, pets free, children 17 and under free. *Available in some units.<br />1401 Hawthorne Ave. NE <br />Salem, Oregon 97301<br />503-371-8024 or 800-466-8356<br /><a href=""http://www.motel6.com"" target=""_blank"">www.motel6.com</a></td>
<td><a href=""http://www.motel6.com"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Motel_6.png"" title=""Motel 6 ~ Salem, Oregon ~ www.motel6.com"" width=""187"" height=""166"" style=""float: right; margin: 5px;"" /></a></td>
</tr>
</tbody>
</table>"
148,15549,listing,,Grand Hotel in Salem,4,1,1234643717,1380303098,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>The Grand Hotel in Salem&nbsp;features over-sized guest rooms. Each room with work/living area, complimentary high speed Internet, <a href=""http://www.youtube.com/v/i_hxYTNuY4Y&amp;amp;hl=en_US&amp;amp;fs=1"" rel=""lightvideo""><img src=""http://www.travelsalem.com/files/images/The_Grand_Hotel_in_Salem_Video_Thumbnail.JPG"" title=""Click here to a virtual tour of The Grand Hotel in Salem - Salem, Oregon."" width=""128"" height=""72"" style=""margin: 5px; float: right;"" /></a>complimentary breakfast. <br />201 Liberty St. SE<br />Salem, Oregon 97301<br />503-540-7800<br />877-540-7800<br /><a href=""http://www.GrandHotelSalem.com"" target=""_blank"">www.GrandHotelSalem.com</a></td>
<td><span class=""inline inline-left""><a href=""http://www.GrandHotelSalem.com"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Grand_Hotel_Lobby_190.jpg"" title=""The Grand Hotel in Salem ~ Salem, Oregon~ www.GrandHotelSalem.com"" width=""190"" height=""125"" style=""margin: 5px; float: right; border: 0px;"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
149,16769,listing,,"DoubleTree by Hilton - Salem, Oregon",4,1,1234643760,1392139104,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Where the little things mean everything.<br />1590 Weston Ct. NE<br />Salem, Oregon 97301<br />503-581-7004<br /><a href=""http://doubletree3.hilton.com/en/hotels/oregon/doubletree-by-hilton-hotel-salem-oregon-SLENSDT/index.html"" target=""_blank"">www.doubletree.hilton.com</a></td>
<td><a href=""http://doubletree3.hilton.com/en/hotels/oregon/doubletree-by-hilton-hotel-salem-oregon-SLENSDT/index.html"" target=""_blank""><img src=""/files/images/NorthPhoenixInn.jpg"" width=""190"" height=""127"" style=""float: right; margin: 5px; border: 0px;"" class=""image image-preview"" /></a></td>
</tr>
</tbody>
</table>"
150,21640,listing,,Phoenix Inn Suites - Salem,4,1,1234643822,1445020201,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td><p>You will never want to leave our South Salem Phoenix Inn Suites, with a fabulous staff and fantastic amenities you will forget all about going home!<strong><br /></strong>4370 Commercial St. SE<br />Salem, Oregon 97302<br />503-588-9220 or 800-445-4498<br /><a href=""http://www.phoenixinnsuites.com/"" target=""_blank"">www.phoenixinnsuites.com</a></p></td> <td><span class=""inline inline-left""><a href=""http://www.phoenixinnsuites.com/"" target=""_blank""><img src=""/files/images/SouthPhoenixInn.jpg"" width=""191"" height=""127"" border=""0"" class=""image image-preview"" /></a></span></td></tr></tbody></table>"
151,21642,listing,,Red Lion Hotel Salem,4,1,1234643864,1445020388,0,0,0,0,0,0,"<p><span class=""inline inline-left"">&nbsp;</span></p> <table border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td>With 148 guest rooms and 10,000 square feet of meeting space you will surely be pleased! ""Stay Comfortable"" at the Red Lion Hotel Salem!<br />3301 Market St. NE<br />Salem, Oregon 97301<br />503-370-7888<br /><a href=""http://www.redlion.com/salem"" target=""_blank"">www.redlion.com/salem</a></td> <td><a href=""http://www.redlion.com/salem"" target=""_blank""><img src=""/files/images/Red_Lion_Hotel_Small.JPG"" title=""Red Lion Hotel &amp; Convention Center ~ Salem, Oregon ~ www.redlion.com/salem"" width=""190"" height=""126"" style=""float: right; border-image: initial; margin: 5px; border: 0px initial initial;"" /></a></td></tr></tbody></table>"
152,9598,listing,,Residence Inn by Marriott,4,1,1234643932,1313462536,0,0,0,0,0,0,"<p>640 Hawthorne Ave. SE<br />Salem, Oregon 97301<br />503-585-6500<br /><a href=""http://www.marriott.com/sleri"" target=""_blank"">www.marriott.com/sleri</a></p>"
154,9958,listing,,Travelodge,4,1,1234644008,1316826814,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Coffee maker, hair dryer, 50+ channels in every room. Pets allowed with small fee. 3 blocks to Willamette University, State Capitol.<br />1555 State St.<br />Salem, Oregon 97301<br />503-581-2466 or 866-471-9912<br /><a href=""http://www.the.travelodge.com/salem10917"" target=""_blank"">www.the.travelodge.com/salem10917</a></td>
<td><span class=""inline inline-left""><a href=""http://www.the.travelodge.com/salem10917"" target=""_blank""><img src=""/files/images/accom_travelLodge.jpg"" title=""Travelodge ~ Salem, Oregon."" width=""190"" height=""129"" style=""border: 0px;"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
156,7414,listing,,Betty's Bed and Breakfast,4,1,1234644081,1287723565,0,0,0,0,0,0,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<p>This beautifully restored 1921 Craftsman Home is located in the heart of Salem, close to Capitol, downtown and Willamette University. Wonderful gourmet breakfasts, antiques and nostalgia.<br />965 D St. NE <br />Salem, OR 97301<br />503-399-7848<br /><a href=""http://www.salemoregonbedandbreakfast.com"" target=""_blank"">www.salemoregonbedandbreakfast.com</a></p>
</td>
<td><a href=""http://www.salemoregonbedandbreakfast.com"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Bettys_B&amp;B_Small.jpg"" title=""Betty's Bed and Breakfast ~ Salem, Oregon ~ www.salemoregonbedandbreakfast.com"" width=""190"" height=""142"" style=""margin: 5px; float: right;"" /></a></td>
</tr>
</tbody>
</table>"
159,12159,listing,,Champoeg State Heritage Area,4,1,1234644651,1341523336,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Full hookups, electrical, tent sites, rustic cabins, hiker/biker camp, group picnic areas, visitors center, historical attractions, meeting hall, amphitheater, hiking/biking trails and disc golf.<br />7679 Champoeg Rd. NE<br />Saint Paul, OR 97137<br />503-678-1251 or<br />800-452-5687(camping reservations)<br /><a href=""http://www.oregonstateparks.org/park_113.php"" target=""_blank"">www.oregonstateparks.org</a></td>
<td><span class=""inline inline-left""><a href=""http://www.oregonstateparks.org/park_113.php"" target=""_blank""><img src=""/files/images/ChampoegSP.jpg"" width=""171"" height=""171"" border=""0"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
160,18564,listing,,Detroit Lake State Recreation Area,4,1,1234645663,1406668637,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<p>Full hookups, electrical, tent sites, visitor center, two mooring docks, fishing dock, wildlife viewing area, two playgrounds, two designated swimming areas and an ADA fishing dock.<br />44000 N Santiam Hwy. SE<br />Detroit, OR 97342<br />503-854-3346 or<br />800-452-5687 (camping reservations)<br /><a href=""http://www.oregonstateparks.org/park_93.php"" target=""_blank"">www.oregonstateparks.org</a></p>
</td>
<td><span class=""inline inline-none""><a href=""http://www.oregonstateparks.org/park_93.php"" target=""_blank""><img src=""/files/images/DetroitSP.jpg"" width=""171"" height=""171"" style=""float: right; margin: 5px; border: 0px;"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
163,12156,listing,,Silver Falls State Park,4,1,1234645978,1341523199,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Electrical, tent sites, rustic cabins, waterfalls, group tent areas, group RV areas, youth camp, horse camp, canyon hiking trails, bike paths and a historic lodge.<br />20024 Silver Falls Hwy. SE<br />Sublimity, OR 97385<br />503-873-8681 or<br />800-452-5687 (camping reservations)<br /><a href=""http://www.oregonstateparks.org/park_211.php"" target=""_blank"">www.oregonstateparks.org</a></td>
<td><span class=""inline inline-left""><a href=""http://www.oregonstateparks.org/park_211.php"" target=""_blank""><img src=""/files/images/SilverFallsSP.JPG"" width=""114"" height=""170"" border=""0"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
164,21476,listing,,State Park Information,4,1,1234646039,1443030664,0,0,0,0,0,0,"<p><strong>Oregon Parks &amp; Recreation Dept.<br /></strong>725 Summer St. NE, Ste. C<br />Salem, OR 97301<br />Phone: 503-986-0707<br />Resv. only: 800-452-5687<br />Info only: 800-551-6949<br /><a href=""http://www.oregonstateparks.org"" target=""_blank"">www.oregonstateparks.org</a></p>"
166,21679,listing,,Mary Lou Zeek Gallery,4,0,1234646928,1445036477,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td>Located in historic downtown Salem, Oregon, this is a premier art gallery for Pacific NW artists. The gallery is an unexpected art treasure in the mid-Willamette Valley. <strong><br /></strong>335 State St.<br />Salem, OR 97301<br />503-581-3229<br /><a href=""http://www.zeekgallery.com/"" target=""_blank"">www.zeekgallery.com</a></td> <td><span class=""inline inline-left""><span class=""inline inline-left""><a href=""http://www.zeekgallery.com/"" target=""_blank""><img src=""/files/images/Mary_Lou_Zeek_Gallery_Small.jpg"" width=""128"" height=""170"" border=""0"" class=""image image-preview "" /></a></span></span></td></tr></tbody></table>"
167,7721,listing,,Bush Barn Art Center/Salem Art Association,4,1,1234646994,1291176507,0,0,0,0,0,0,"<table border=""0"">
<tbody>
<tr>
<td>Bush Barn Art Center is home to three fine art galleries featuring admission-free exhibitions and a gift shop showcasing arts and crafts by regional artists.<br />600 Mission St.<br />Salem, OR 97302<br />503-581-2228<br /><a href=""http://www.SalemArt.org"" target=""_blank"">www.SalemArt.org</a></td>
<td><span class=""inline inline-left""><a href=""http://www.SalemArt.org"" target=""_blank""><img src=""http://www.travelsalem.com/files/images/Salem_Art_Assoc_Art_Gallery_Small.jpg"" title=""Salem Art Association ~ Bush Barn Art Center ~ Salem, Oregon ~ www.SalemArt.org"" width=""190"" height=""113"" /></a></span></td>
</tr>
</tbody>
</table>"
168,13308,listing,,Spirit Mountain Casino,4,1,1234647047,1357427610,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>The Northwest's Premier Entertainment Destination - 2000 Vegas-style slots, table games, state-of-the-art Event Center, exquisite Legends restaurant, Cedar Plank buffet, Mountain View sports bar and luxurious Lodge. <strong><br /></strong>27100 SW Salmon River Hwy. <br />Grand Ronde, OR 97347<br />800-760-7977<br /><a href=""http://www.spiritmountain.com/"" target=""_blank"">www.spiritmountain.com</a></td>
<td><span class=""inline inline-left""><a href=""http://www.spiritmountain.com/"" target=""_blank""><img src=""/files/images/SpiritMtn.jpg"" width=""139"" height=""170"" border=""0"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
171,10294,listing,,Salem SenateAires Men's Chorus,4,1,1234648930,1320861966,0,0,0,0,0,0,"<p>Knights of Columbus Hall<br />725 Shipping St. NE (rehearsal location)<br />Salem, OR 97303<br />PO Box 717 (mailing)<br />Salem, OR 97308-0717<br />866-558-5344<br /><a href=""http://www.senateaires.org/"" target=""_blank"">www.senateaires.org</a></p>"
173,7162,listing,,Historic Elsinore Theatre,4,1,1234649172,1285393042,0,0,0,0,0,0,"<table border=""0"" cellspacing=""2"" cellpadding=""0"">
<tbody>
<tr>
<td>A restored 1926 vaudeville theatre hosting over 140 events a year. From Bach to Rock and Broadway to Ballet...The Elsinore has it all! <br />170 High St. SE<br />Salem, Oregon 97301 <br />503-375-3574<br /><a href=""http://www.elsinoretheatre.com/"" target=""_blank"">www.ElsinoreTheatre.com</a></td>
<td><span class=""inline inline-left""><span class=""inline inline-left""><a href=""http://www.elsinoretheatre.com/"" target=""_blank""><img src=""/files/images/Elsinore_Theatre_Small.jpg"" title=""Historic Elsinore Theatre ~ Salem, Oregon ~ www.ElsinoreTheatre.com"" width=""170"" height=""88"" style=""border: 0px;"" class=""image image-preview "" /></a></span></span></td>
</tr>
</tbody>
</table>"
175,6672,listing,,Pentacle Theatre,4,1,1234649553,1279940591,0,0,0,0,0,0,"<p>324 52nd Ave. NW (Theatre Location) <br />Salem, Oregon 97304 <br />145 Liberty St. NE (Business &amp; Ticket Offices) <br />Salem, Oregon 97301 <br />503-485-4300<br /><a href=""http://www.pentacletheatre.org/"" target=""_blank"">www.pentacletheatre.org</a></p>"
206,15809,listing,,Adelman Peony Gardens,4,1,1236282417,1382725748,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Peony farm. Peony plants for sale at the farm during the spring bloom season and the fall planting season. Check website for hours.<br />6219 Topaz St. NE<br />Brooks, OR 97305<br />503-393-7999<br /><a href=""http://www.brooksgardens.com/"" target=""_blank"">www.brooksgardens.com</a></td>
<td><span class=""inline inline-left""><a href=""http://www.brooksgardens.com/"" target=""_blank""><img src=""/files/images/BrooksGardens.JPG"" title=""Brooks Gardens ~ Brooks, Oregon ~ www.brooksgardens.com"" width=""190"" height=""143"" style=""margin: 5px; float: right; border: 0px;"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
208,18737,listing,,Brooks Gardens,4,1,1236282498,1409855835,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Peony farm. Peony plants for sale at the farm during the spring bloom season and the fall planting season. Check website for hours.<br />6219 Topaz St. NE<br />Brooks, OR 97305<br />503-393-7999<br /><a href=""http://www.brooksgardens.com/"" target=""_blank"">www.brooksgardens.com</a></td>
<td><span class=""inline inline-left""><a href=""http://www.brooksgardens.com/"" target=""_blank""><img src=""/files/images/BrooksGardens.JPG"" title=""Brooks Gardens ~ Brooks, Oregon ~ www.brooksgardens.com"" width=""190"" height=""143"" style=""margin: 5px; float: right; border: 0px;"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
211,9011,listing,,Delbert Hunter Arboretum and Botanic Garden,4,1,1236282720,1307033009,0,0,0,0,0,0,"<p>Park St. entrance, south end of Dallas City Park<br />Dallas, OR 97338<br />503-623-7359<br />503-623-2564<br /><a href=""http://www.delberthunterarboretum.org/"" target=""_blank"">www.delberthunterarboretum.org</a></p>"
213,21669,listing,,Deepwood Museum & Gardens,4,1,1236282834,1445032436,0,0,0,0,0,0,"<p>&nbsp;</p><table border=""0"" cellspacing=""0"" cellpadding=""0""><tbody><tr><td>Boasting lush English style gardens, the 4.5 acres surrounding Deepwood Museum &amp; Gardens were created by Lord and Schryver in 1929. Self guided tours with brochure. Gardens open from dawn till dusk. Free.<br />1116 Mission St. (Bush's Pasture Park)<br />Salem, OR 97301<br />503-363-1825 or 503-588-6261<br /><a href=""http://www.historicdeepwoodestate.org"" target=""_blank"">www.historicdeepwoodestate.org</a><br /><a href=""http://www.cityofsalem.net"" target=""_blank"">www.cityofsalem.net</a></td> <td><span class=""inline inline-left""><img src=""/files/images/DEEPWOO1.JPG"" width=""189"" height=""120"" border=""0"" class=""image image-preview"" /></span></td></tr></tbody></table>"
215,9790,listing,,Schreiner's Iris Gardens,4,1,1236282915,1315787106,0,0,0,0,0,0,"<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Our 10-acre display garden, just north of Keizer, is open to the public dawn to dusk during May-June bloom season. Visit us online year round!<br />3625 Quinaby Rd. NE<br />Salem, OR 97303<br />503-393-3232 or 800-525-2367<br /><a href=""http://www.schreinersgardens.com"" target=""_blank"">www.schreinersgardens.com</a></td>
<td><span class=""inline inline-left""><span class=""inline inline-left""><a href=""http://www.schreinersgardens.com"" target=""_blank""><img src=""/files/images/Schreiners_Iris_Gardens_Small.JPG"" title=""Schreiner's Iris Gardens ~ Salem, Oregon ~ www.schreinersgardens.com"" width=""190"" height=""127"" style=""margin: 5px; float: right; border: 0px;"" class=""image image-preview "" /></a></span></span></td>
</tr>
</tbody>
</table>"
216,5380,listing,,The Oregon Garden,4,1,1236282952,1270147207,0,0,0,0,0,0,"<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<p>Experience The Oregon Garden's 20 specialty gardens and spectacular vistas. Enjoy events year-round including Earth Day, Brewfest, car shows, summer concerts, seasonal festivals, and more!<br />879 W Main St.<br />Silverton, OR 97381<br />503-874-8100 or 877-674-2733<br /><a href=""http://www.oregongarden.org"" target=""_blank"">www.oregongarden.org</a><a href=""http://www.oregongarden.org"" target=""_blank""></a></p>
</td>
<td>&nbsp;<span class=""inline inline-left""><a href=""http://www.oregongarden.org"" target=""_blank""><img src=""/files/images/The_Oregon_Garden_Small.jpg"" width=""190"" height=""153"" border=""0"" class=""image image-preview "" /></a></span></td>
</tr>
</tbody>
</table>"
217,417,listing,,Willamette University's Martha Springer Botanical Garden and Rose Garden,4,1,1236282995,1236373360,0,0,0,0,0,0,"<p>900 State St.<br />Salem, OR 97301<br />503-370-6532<br /><a href=""http://www.willamette.edu"" target=""_blank"">www.willamette.edu</a></p>"
219,17972,listing,,Willson Park/Capitol Park Mall,4,1,1236283362,1401308721,0,0,0,0,0,0,"<p><span class=""inline inline-left"">&nbsp;</span></p>
<table border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>Willson Park/Capitol Park Mall<br />Within the boundaries of the Capitol grounds exist hundreds of varieties of trees, shrubs and flowers providing a dazzling display for all seasons. This park and mall is one of Oregon's newest State Parks and includes the new Oregon World War II Memorial with a 33-foot-tall, 15-ton obelisk. Brochures available in the Capitol. <br />900 Court St.<br />Salem, OR 97301<br />503-986-1388<br /><a href=""http://www.oregonstateparks.org/park_257.php"" target=""_blank"">www.oregonstateparks.org</a></td>
<td><span class=""inline inline-left""><a href=""http://www.oregonstateparks.org/park_257.php"" target=""_blank""><img src=""/files/images/WillsonCapitolMallSP.JPG"" width=""190"" height=""100"" border=""0"" class=""image image-preview"" /></a></span></td>
</tr>
</tbody>
</table>"
220,18797,listing,,Wooden Shoe Tulip Farm,4,0,1236283391,1410208134,0,0,0,0,0,0,"<p>&nbsp;</p>
<table style=""width: 100%;"" border=""0"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<p>Acres of tulip beauty! Wander the fields, visit the Gift Shop, Country Store, and Tulip Cafe. Purchase fresh cut flowers and order bulbs for fall planting.<br />33814 S Meridian Rd.<br />Woodburn, OR 97071<br />503-634-2243 or 800-711-2006<br /><a href=""http://www.woodenshoe.com"" target=""_blank"">www.woodenshoe.com</a></p>
</td>
<td><span class=""inline inline-left""><a href=""http://www.woodenshoe.com"" target=""_blank""><img src=""/files/images/Wooden-Shoe-Small.jpg"" title=""Wooden Shoe Tulip Farm"" width=""113"" height=""170"" border=""0"" style=""border: 0px;"" class=""image image-preview "" /></a></span></td>
</tr>
</tbody>
</table>
<p>&nbsp;</p>"
